ACCT_CODE,COMPANY_NAME
 2.61911725 , CBAO KEUR MASSAR 
 2.54827220 , CBAO LIBERTE   
 2.54827233 , CBAO NGOR   
 2.54827255 , CBAO PIKINE1   
 2.54827258 , CBAO RUFISQUE CBEAO CBEAO 
 2.54827210 , CBAO SIEGE   
 2.54827270 , CBAO SIPRES   
 1.62393556 , CBAO VDN  CBAO VDN 
 2.55480227 , CBAO ZONE INDUSTRIELLE 1   
 2.55480228 , CBAO ZONE INDUSTRIELLE 2   
 1.61912146 , CBAO_BCEAO  INTERCO 
 1.61492666 , CBAO_GAP_POINT.E  CBAO_GAP_POINT.E 
 1.61912150 , CDS_BCEAO  INTERCO 
 1.60625019 , CDS_RADISSON_INTERCO  CDS_RADISSON_INTERCO 
 2.62921807 , CFAO  SALY 
 2.55142655 , CGF BOURSE BOURSE BOURSE 
 2.59061737 , CITYBANK INTERCO   
 2.54991227 , CNCAS   
 1.61469792 , COGECA  ORABANK 
 2.53727531 , COMASEL LS   
 1.62819135 , CORI BANK  RUFISQUE 
 2.57196122 , CORI HQ   
 2.57196123 , CORIS BANK BOURGUIBA   
 2.61911731 , CORIS BANK PARCELLES 
 1.62400178 , CORIS_BANK_  KEUR MASSAR 
 2.62400173 , CORIS_BANK_MARISTE   
 2.62819146 , CORIS_BANK_MERMOZ   
 2.62400180 , CORIS_BANK_PIKINE   
 2.62819141 , CORIS_BANK_SIPRES II   
 2.59261243 , CRC SAS   
 1.61899284 , CREDIT INTERNATIONAL BCEAO  INTERCO 
 2.54788067 , CSU SA HAYO 
 2.57072478 , DAKAR TERMINAL DIAMNIADIO   
 2.53543137 , DIRECTION GENERALE DE LA COMPTABILITE PUBLIQUE ET DU TRESOR 
 2.53212460 , DOLPHIN   
 1.58787202 , DOLPHIN  EMBASSY 
 1.59084398 , DRN  DRN 
 2.59494697 , ECOBANK HQ_FIBER   
 2.53212454 , Ecobank ROUME   
 2.56549434 , ECOBANK TAMBA   
 2.54631434 , ECOBANK ZIGUINCHOR   
 1.59261578 , ETG  EMIRATES 
 2.57391950 , EXCAF GAMBIA LIMITED   
 1.60087582 , FAO  FAO 
 1.60660372 , FINAO  FINAO 
 2.53212510 , GD SAINT LOUIS SAINT LOUIS SAINT LOUIS 
 2.53212433 , GDS DAKAR   
 2.53212596 , GIM-UEMOA   
 1.61902393 , GIMUEMOA  INTERCO BCI 
 1.62400126 , GIMUEMOA  INTERCO_CBAO 
 2.56670775 , GIM-UEMOA INTERCO   
 2.55481955 , GIM-UEMOA IPLC   
 1.61912148 , GIMUEMOA_BCEAO  INTERCO 
 2.53212590 , GRIMALDI SENEGAL   
 1.61473322 , GROUP RTS 2  ACAN 
 1.59163337 , GROUPE  RACECO 
 1.62513696 , GROUPE MEDIA  VISION 
 2.54655520 , HAVAS MEDIA SENEGAL 
 1.58496382 , HOMEPRO  HOMEPRO 
 1.61470677 , HUAWEI TECHNOLOGIES  SENEGAL 
 2.53212571 , IBEX   
 1.61911187 , IFEF  IFEF 
 2.53736472 , IMPAXIS SECURITIES   
 1.55944479 , INSTITUT  BIOFORCE 
 2.53212562 , INSTITUT SUPERIEUR DINFORMATIQUE   
 2.55267169 , INTELCIA   
 2.55267109 , INTELCIA IPLC   
 1.62079793 , INTELCIA_THIES  INTELCIA 
 1.60568018 , INTERCO  BASN_BCEAO 
 1.60568032 , INTERCO  BIMAO_BCEAO 
 1.60567912 , INTERCO  BRM_BCEAO 
 1.61909894 , INTERCO  CNCAS_BCEAO 
 1.61469470 , INTERCO  TNT 
 1.62351507 , INTERCO BHS  INTERCO BHS 
 1.62400449 , INTERCO CI  GIM UEMOA 
 1.62400169 , INTERCO_  BSIC_GIMUEMOA 
 1.60568248 , INTERCO_BIS_BCEAO 
 1.62392132 , INTERCO_BRM  GIMUEMOA 
 1.62393147 , INTERCO_CORIS  BANK_BCEAO 
 1.61492633 , INTERCO_FBN_BCEAO  INTERCO_FBN_BCEAO 
 1.61492603 , INTERCO_FBN_GIMUEMOA  INTERCO_FBN_GIMUEMOA 
 1.62392701 , INTERCO_SGBS  BCEAO_FIBRE 
 1.60571996 , INVICTUS CAPITAL  FINANCE SA 
 1.61899651 , JETEE NORD  VIVO 
 1.61476387 , KARPOWERSHIP  SENEGAL 
 2.62394314 , KARPOWERSHIP FFTH   
 1.61910982 , KEUR GORGUI  UVS 
 1.62820004 , LA BANQUE  AGRICOLE PETE 
 1.62820001 , LA BANQUE AGRICOLE  PODOR 
 1.60211598 , LINK  TELECOM 
 1.57751013 , LONASE  LONASE 
 1.59059999 , LONASE  LONASE 
 1.56685448 , LOUIS DREYFUS COMMODITIES  KM 16 
 2.54749245 , LS ASECNA ASECNA 
 2.62972826 , LUNE BLEUE_SARL   
 1.58494529 , MAISON D'ARRET  DE REBEUSS 
 2.53212513 , MAJOREL SENEGAL LS   
 2.53212410 , MAZARS   
 1.62393858 , MBAO  BOA 
 2.55267235 , MEDECINS SAN FRONTIERES   
 1.62862543 , MEDIACALL  MEDIACALL 
 2.53097916 , MELI MAILO INTERNATIONAL INTERRNATIONAL INTERNATIONAL 
 2.53735829 , MSC SENEGAL SENEGAL SENEGAL 
 2.53212525 , MTN_ETG   
 2.55481740 , NEUROTECH LS   
 1.58684349 , OCHA  ROWCA 
 1.61476628 , OIM  OIM 
 2.54804514 , OLA Energy Sénégal 
 1.58486874 , OLAM  SENEGAL 
 2.53212516 , ONG PATH   
 1.61343535 , ONUSIDA  ONUSIDA 
 1.61928643 , ORABANK  BCEAO INTERCO 
 2.55227279 , ORABANK MSC   
 2.60087558 , ORABANK_CMA   
 2.62392255 , ORABANK_GAB  DIRECTION DES OPÉRATIONS 
 2.62818810 , ORABANK_SIEGE_INTERCO   
 2.62818809 , ORABANK_SOPRIM   
 2.61902910 , ORANBANK  GAB AUCHAN 
 1.61902401 , OUTARD BCEAO  INTERCO 
 1.62394401 , OUTARDE_GIMUEMOA  INTERCO 
 1.61471276 , PETROSEN  PETROSEN 
 1.61922688 , PNDL  PNDL 
 2.53212503 , POLYKROME SIEGE LS 
 2.55140530 , POLYKROME USINE  
 2.53212494 , PRESIDENCE DE LA REPUBLIQUE   
 2.53232115 , PRESIDENCE MOUHAMED V   
 1.61473866 , QUALITY CENTER  QUALITY CENTER 
 2.53254426 , REDINGTON SENEGAL   
 2.53212487 , SAAR  SENEGAL LS SENEGAL LS SENEGAL LS 
 1.60086551 , SAI LIBERATION   
 2.55043652 , SAMRES HQ   
 2.54895163 , SAMRES POINT E FH   
 2.53212471 , SATS   
 2.60084920 , SAUDEQUIP INTERCO   
 2.57022571 , SAUDEQUIP SANGALKAM   
 2.54818378 , SAVE THE CHILDREN   
 2.53212455 , SCL DIAMA   
 2.55945890 , SCL RAO   
 2.57700594 , SEAD CONSULTING   
 2.53212448 , SENELEC   
 1.62818204 , SGBS  GIMUEMOA 
 1.61903756 , SOCIÉTÉ DAKAROISE D'ENTREPOSAGE 
 1.62664053 , SUNDA  LIMITED SARL 
 2.55043900 , TAMWELL HOLDING HOLDING HOLDING 
 1.61903677 , TELECOM  LINK 
 2.53212393 , TNT BY EXCAF  
 2.55267452 , TNT BY EXCAF SODIDA   
 2.57751172 , TNT BY EXCAF SODIDA LINK 2   
 1.62392112 , TOUBA  OUTARDE 
 2.62392254 , TRESOR_BCEAO_1MBPS   
 2.53212430 , TRUST_AFRICA   
 1.61902405 , UBA BCEAO  INTERCO 
 2.62402215 , UBA GIMUEMOA INTERCO  
 1.58639599 , UNICEF  FIBRE 
 1.57442618 , UNICEF  RADIO 
 1.55945897 , UNIVERSITE  GASTON BERGER 
 2.53212425 , UNOWA   
 2.53212419 , VIVO-ENERGY   
 2.54871628 , WAFA  CASH 
 2.60568581 , WARI FIBRE   
 2.53253509 , WARTSILA   
 1.63313355 , WARTSILA  BEL AIR 
 2.57589863 , WAVE SENEGAL FIBRE   
 2.53853481 , WEST AFRICA FARMS   
 1.59069336 , WOODSIDE ENERGY  LTD 
 1.62820015 , WORLD BANK  ANNEXE 
 2.53212414 , WORLD BANK HQ   
 2.55141674 , WORLD BANKS IFC BACK UP   
 1.60571972 , YAS  HOTEL 
