ACCT_CODE,COMPANY_NAME
 2.1399 , PHOENIX  PHOENIX 
 2.56685060 , POULTRADE SARL   
 2.1369 , PREBAT SA   
 2.52293498 , PRO CONSEIL BTP   
 2.1343 , PRODAS   
 2.62972532 , PRO-NET   
 2.56670332 , PROTEC SENEGAL SUARL   
 2.60572053 , PUBLI STEEL SARL   
 2.1789 , QUINCAILLERIE KEUR KHADIM 
 2.56153435 , RASSY SAKHO   
 2.62937623 , REGARD GLOBAL SERVICES 
 2.60407374 , REGIE SENEGAL   
 2.60573756 , SAFE AFRIQUE   
 2.51477065 , SALL ET FRERE   
 2.52295139 , SAMRES   
 2.55267445 , SAMRES WIFI   
 2.57077549 , SAUDEQUIP IPBX 2   
 2.60946930 , SCOMATH   
 2.59710609 , SCORPION   
 2.51476723 , SECAA SA   
 2.61912654 , SEN CAS   
 2.59710992 , SENEPE   
 2.62819494 , SENPROD SENPROD  
 2.1199 , SERT   
 2.53736465 , SERVICE ETUDES ET REALISATIONS   
 2.61337303 , SETECOMS   
 2.1809 , SHIELD   
 2.62818210 , sidf   
 2.1251 , SIEGEM SIMAP   
 2.61343592 , SN HLM   
 2.61337870 , SN SOFTWARE   
 2.52428860 , SOBOA   
 2.51477175 , SOCABEG SA   
 2.1339 , SOCABEG SA   
 2.1601 , SOCIETE COMMERCIALE DAME NDIAYE 
 2.1363 , SOCIETE DE CULTURES LEGUMIERES 
 2.55538404 , SOCIETE DIA PLASTIQUE   
 2.53728246 , SOCIETE SENEGALAISE DES FILIERES ALIMENTAIRES 
 2.1387 , SODAGEM   
 2.50492269 , SODEFITEX   
 2.52886350 , SOPERKA  SA 
 2.52271306 , SOSEMAT  SA 
 2.61191555 , SPS SECURITE   
 2.61909925 , TAIBA ASSURANCES  SA 
 2.57589026 , TECHNIQUES INDUSTRIES   
 2.60574086 , TELECON SENEGAL   
 2.1831 , TG  SERVICES 
 2.55947949 , TNT BY EXCAF TELECOM   
 2.1717 , TOUBA DAROU SAM 
 2.63319592 , TOUNKARA ET ASSOCIES   
 2.55285985 , TRADEX AFRICA SA   
 2.54933149 , TRANSAC AUTO   
 2.58053523 , TRAVIS CORPORATION SARL   
 2.51113284 , TUBOPLAST  SARL 
 2.1541 , U IMEC   
 2.55043123 , UBA SA  SA 
 2.52294474 , UNICEF REGIONAL   
 2.1361 , UNIPARCO   
 2.56701620 , UNIVERSITE VIRTUELLE DU SENEGAL   
 2.59396553 , URAC   
 2.1571 , VAN OERS SARL   
 2.1101 , VIGA ASSISTANCE   
 2.50802621 , VIRGIN  CAPITAL 
 2.51380730 , VISIOCONTACT   
 2.62392093 , VOICE  AFRICA 
 2.55211900 , WAFA CASH WEST AFRICA   
 2.62821941 , WIN INDUSTRIES SA 
 2.63313449 , WISS AFRICA   
 2.55273721 , YAYA DIONG   
